Name	Unique ID	Tier 1	Tier 2	Tier 3	Unique ID	Name
Finance and Insurance	1335	Finance and Insurance			391	Personal Finance
Accountants and Bookkeepers	1336	Finance and Insurance	Accountants and Bookkeepers		391	Personal Finance
Banking	1337	Finance and Insurance	Banking		392	Consumer Banking
Credit and Debt Repair/Credit Reporting	1338	Finance and Insurance	Credit and Debt Repair/Credit Reporting		406	Credit Cards
Credit Cards	1339	Finance and Insurance	Credit Cards		406	Credit Cards
Insurance	1340	Finance and Insurance	Insurance		398	Insurance
Auto Insurance	1341	Finance and Insurance	Insurance	Auto Insurance	402	Motor Insurance
Home Insurance	1342	Finance and Insurance	Insurance	Home Insurance	400	Home Insurance
Life Insurance	1343	Finance and Insurance	Insurance	Life Insurance	401	Life Insurance
Medical Insurance	1344	Finance and Insurance	Insurance	Medical Insurance	399	Health Insurance
Pet Insurance	1345	Finance and Insurance	Insurance	Pet Insurance	403	Pet Insurance
Travel Insurance	1346	Finance and Insurance	Insurance	Travel Insurance	404	Travel Insurance
Insurance Coverage Apps	1347	Finance and Insurance	Insurance Coverage Apps		398	Insurance
Mortgage Lenders and Brokers	1348	Finance and Insurance	Mortgage Lenders and Brokers		391	Personal Finance
Payday and Emergency Loans	1349	Finance and Insurance	Payday and Emergency Loans		408	Personal Loans
Retirement Planning	1350	Finance and Insurance	Retirement Planning		416	retirement planning
Stocks and Investments	1351	Finance and Insurance	Stocks and Investments		414	Stocks and Bonds
Financial Investment and Management Applications	1352	Finance and Insurance	Financial Investment and Management Applications		410	Personal Investing
Student Financial Aid	1353	Finance and Insurance	Student Financial Aid		395	Student Financial Aid
Tax Preparation Services	1354	Finance and Insurance	Tax Preparation Services		391	Personal Finance
Food and Beverage Services	1355	Food and Beverage Services			210	Food & Drink
Bakeries	1356	Food and Beverage Services	Bakeries		210	Food & Drink
Catering	1357	Food and Beverage Services	Catering		210	Food & Drink
Fast Food	1358	Food and Beverage Services	Fast Food		210	Food & Drink
Food Delivery Services	1359	Food and Beverage Services	Food Delivery Services		210	Food & Drink
Restaurants	1360	Food and Beverage Services	Restaurants		210	Food & Drink
Gambling	1361	Gambling			v9i3On	Sensitive Topics
Casinos	1362	Gambling	Casinos		v9i3On	Sensitive Topics
Virtual Betting	1363	Gambling	Virtual Betting		v9i3On	Sensitive Topics
Contests	1364	Gambling	Contests		v9i3On	Sensitive Topics
Give Aways	1365	Gambling	Give Aways		v9i3On	Sensitive Topics
Lottery	1366	Gambling	Lottery		v9i3On	Sensitive Topics
Sports Betting	1367	Gambling	Sports Betting		v9i3On	Sensitive Topics
Green/Eco	1368	Green/Eco			78	Green Solutions
Green/Eco Products	1369	Green/Eco	Green/Eco Products		78	Green Solutions
Green/Eco Services	1370	Green/Eco	Green/Eco Services		78	Green Solutions
Gifts and Holiday Items	1371	Gifts and Holiday Items			473	Shopping
Flowers	1372	Gifts and Holiday Items	Flowers		476	Gifts and Greetings Cards
Gift Baskets	1373	Gifts and Holiday Items	Gift Baskets		476	Gifts and Greetings Cards
Gift Cards and Coupons	1374	Gifts and Holiday Items	Gift Cards and Coupons		474	Coupons and Discounts
Gift Certificates	1375	Gifts and Holiday Items	Gift Certificates		476	Gifts and Greetings Cards
Greeting Cards	1376	Gifts and Holiday Items	Greeting Cards		476	Gifts and Greetings Cards
Party Goods	1377	Gifts and Holiday Items	Party Goods		473	Shopping
Health and Medical Services	1378	Health and Medical Services			97	Healthcare Industry
Alternative and Natural Medicine	1379	Health and Medical Services	Alternative and Natural Medicine		233	Alternative Medicine
Assisted Living	1380	Health and Medical Services	Assisted Living		190	Eldercare
Chiropractors	1381	Health and Medical Services	Chiropractors		223	Healthy Living
Clinical Research	1382	Health and Medical Services	Clinical Research		223	Healthy Living
Cosmetic Medical Services	1383	Health and Medical Services	Cosmetic Medical Services		223	Healthy Living
Dental Care	1384	Health and Medical Services	Dental Care		223	Healthy Living
Dermatology	1385	Health and Medical Services	Dermatology		223	Healthy Living
Drugstores and Pharmacies	1386	Health and Medical Services	Drugstores and Pharmacies		223	Healthy Living
Fertility and Family Planning	1387	Health and Medical Services	Fertility and Family Planning		223	Healthy Living
General Practitioners	1388	Health and Medical Services	General Practitioners		223	Healthy Living
Home Healthcare	1389	Health and Medical Services	Home Healthcare		223	Healthy Living
Hospitals	1390	Health and Medical Services	Hospitals		223	Healthy Living
Mental Health	1391	Health and Medical Services	Mental Health		223	Healthy Living
Physical Therapists	1392	Health and Medical Services	Physical Therapists		223	Healthy Living
Service Provider Search and Scheduling	1393	Health and Medical Services	Service Provider Search and Scheduling		223	Healthy Living
Symptom Monitoring Apps	1394	Health and Medical Services	Symptom Monitoring Apps		223	Healthy Living
Vision Care	1395	Health and Medical Services	Vision Care		223	Healthy Living
Home and Garden Services	1396	Home and Garden Services			274	Home & Garden
Appliance Repair	1397	Home and Garden Services	Appliance Repair		274	Home & Garden
Business and Home Security Services	1398	Home and Garden Services	Business and Home Security Services		274	Home & Garden
Carpeting and Flooring Services	1399	Home and Garden Services	Carpeting and Flooring Services		274	Home & Garden
Do It Yourself Applications	1400	Home and Garden Services	Do It Yourself Applications		274	Home & Garden
Emergency Preparedness	1401	Home and Garden Services	Emergency Preparedness		274	Home & Garden
Flood, Fire and Gas Safety	1402	Home and Garden Services	Flood, Fire and Gas Safety		274	Home & Garden
Gas and Electric Services	1403	Home and Garden Services	Gas and Electric Services		274	Home & Garden
Home Improvement and Repair	1404	Home and Garden Services	Home Improvement and Repair		280	Home Improvement
Home Security and Monitoring Applications	1405	Home and Garden Services	Home Security and Monitoring Applications		281	Home Security
Home Service Provider Review	1406	Home and Garden Services	Home Service Provider Review		274	Home & Garden
Housekeeping Services	1407	Home and Garden Services	Housekeeping Services		274	Home & Garden
Landscaping Services	1408	Home and Garden Services	Landscaping Services		284	Landscaping
Lawn and Garden Services	1409	Home and Garden Services	Lawn and Garden Services		284	Landscaping
Pest Exterminators	1410	Home and Garden Services	Pest Exterminators		274	Home & Garden
Plumbers	1411	Home and Garden Services	Plumbers		274	Home & Garden
Pool and Spa Installation and Maintenance	1412	Home and Garden Services	Pool and Spa Installation and Maintenance		274	Home & Garden
Remodeling and Construction	1413	Home and Garden Services	Remodeling and Construction		276	Remodeling & Construction
Water Services	1414	Home and Garden Services	Water Services		274	Home & Garden
Window Installation and Treatments	1415	Home and Garden Services	Window Installation and Treatments		274	Home & Garden
Legal Services	1416	Legal Services			100	Legal Services Industry
Lawyers	1417	Legal Services	Lawyers		100	Legal Services Industry
Bail Bonds	1418	Legal Services	Bail Bonds		100	Legal Services Industry
Media	1419	Media			1022	Content Media Format
Blogs/Forums/Social Networks	1420	Media	Blogs/Forums/Social Networks		1022	Content Media Format
Book Reading and Review Applications	1421	Media	Book Reading and Review Applications		42	Books and Literature
Books and Audio Books	1422	Media	Books and Audio Books		42	Books and Literature
Casual Games	1423	Media	Casual Games		1022	Content Media Format
Casual Games Apps	1424	Media	Casual Games	Casual Games Apps	1022	Content Media Format
Core Gaming	1425	Media	Core Gaming		1022	Content Media Format
Core Gaming Apps	1426	Media	Core Gaming	Core Gaming Apps	1022	Content Media Format
CDs and Vinyl Records	1427	Media	CDs and Vinyl Records		1022	Content Media Format
DVDs	1428	Media	DVDs		1022	Content Media Format
Live Television	1429	Media	Live Television		640	Television
Magazines and Newspapers	1430	Media	Magazines and Newspapers		1022	Content Media Format
Music and Video Streaming Services	1431	Media	Music and Video Streaming Services		1022	Content Media Format
News and Analysis	1432	Media	News and Analysis		1022	Content Media Format
Radio and Podcasts	1433	Media	Radio and Podcasts		338	Music and Audio
Sports	1434	Media	Sports		483	Sports
Fantasy Sports	1435	Media	Sports	Fantasy Sports	483	Sports
Sports Highlights	1436	Media	Sports	Sports Highlights	483	Sports
Team News and Analysis	1437	Media	Sports	Team News and Analysis	483	Sports
Utilities Apps	1438	Media	Utilities Apps		602	Computer Software and Applications
Productivity Apps	1439	Media	Utilities Apps	Productivity Apps	602	Computer Software and Applications
Reference Apps	1440	Media	Utilities Apps	Reference Apps	602	Computer Software and Applications
Search Engine Apps	1441	Media	Utilities Apps	Search Engine Apps	627	Search
Weather Apps	1442	Media	Utilities Apps	Weather Apps	390	Weather
Metals	1443	Metals			107	Metals Industry
Coin Trade In	1444	Metals	Coin Trade In		107	Metals Industry
Gold Trade In	1445	Metals	Gold Trade In		107	Metals Industry
Platinum Trade In	1446	Metals	Platinum Trade In		107	Metals Industry
Silver Trade In	1447	Metals	Silver Trade In		107	Metals Industry
Non-Fiat Currency	1448	Non-Fiat Currency			82	Currencies 
Cryptocurrency Exchanges	1449	Non-Fiat Currency	Cryptocurrency Exchanges		82	Currencies 
Cryptocurrency Stock	1450	Non-Fiat Currency	Cryptocurrency Stock		82	Currencies 
NFTs	1451	Non-Fiat Currency	NFTs		82	Currencies 
Non-Profits	1452	Non-Profits			108	Non-Profit Organizations
Charities and Donations	1453	Non-Profits	Charities and Donations		108	Non-Profit Organizations
Civic Organizations	1454	Non-Profits	Civic Organizations		108	Non-Profit Organizations
Federations and Professional Associations	1455	Non-Profits	Federations and Professional Associations		108	Non-Profit Organizations
Military Organizations	1456	Non-Profits	Military Organizations		108	Non-Profit Organizations
Non-Governmental Organizations	1457	Non-Profits	Non-Governmental Organizations		108	Non-Profit Organizations
Public Service Announcements	1458	Non-Profits	Public Service Announcements		108	Non-Profit Organizations
Scholarships	1459	Non-Profits	Scholarships		108	Non-Profit Organizations
Pet Ownership	1460	Pet Ownership			422	Pets
Pet Adoption	1461	Pet Ownership	Pet Adoption		422	Pets
Pet Breeders	1462	Pet Ownership	Pet Breeders		422	Pets
Pet Care and Supply Applications	1463	Pet Ownership	Pet Care and Supply Applications		422	Pets
Pet Grooming	1464	Pet Ownership	Pet Grooming		422	Pets
Pet Sitting	1465	Pet Ownership	Pet Sitting		422	Pets
Veterinary Services	1466	Pet Ownership	Veterinary Services		422	Pets
Personal/Consumer Telcom	1467	Personal/Consumer Telecom			596	Technology & Computing
Home Internet Services	1468	Personal/Consumer Telecom	Home Internet Services		619	Internet
Home Phone Services	1469	Personal/Consumer Telecom	Home Phone Services		632	Consumer Electronics
Home Television Services	1470	Personal/Consumer Telecom	Home Television Services		640	Television
Mobile Phone Plans	1471	Personal/Consumer Telecom	Mobile Phone Plans		632	Consumer Electronics
Prepaid International Phone Services	1472	Personal/Consumer Telecom	Prepaid International Phone Services		632	Consumer Electronics
Pharmaceuticals	1473	Pharmaceuticals			109	Pharmaceutical Industry
Politics	1474	Politics			379	News and Politics
Ballot measures	1475	Politics	Ballot measures		387	Elections
Elections	1476	Politics	Elections		379	News and Politics
Political Action Committees	1477	Politics	Political Action Committees		379	News and Politics
Political Analysis and Opinion	1478	Politics	Political Analysis and Opinion		379	News and Politics
Political Candidates	1479	Politics	Political Candidates		379	News and Politics
Political Donations	1480	Politics	Political Donations		379	News and Politics
Promoting Causes	1481	Politics	Promoting Causes; eg: Healthcare reform, energy trades (Oil/Solar), etc...		379	News and Politics
Real Estate	1482	Real Estate			441	Real Estate
Commercial Real Estate	1483	Real Estate	Commercial Real Estate		441	Real Estate
Real Estate Rentals	1484	Real Estate	Real Estate Rentals		452	Real Estate Renting and Leasing
Real Estate Sales	1485	Real Estate	Real Estate Sales		451	Real Estate Buying and Selling
Real Estate Services For Owners	1486	Real Estate	Real Estate Services For Owners		441	Real Estate
Religion and Spirituality	1487	Religion and Spirituality			453	Religion & Spirituality
Astrology	1488	Religion and Spirituality	Astrology		453	Religion & Spirituality
Prayer and Mindfullness Applications	1489	Religion and Spirituality	Prayer and Mindfullness Applications		453	Religion & Spirituality
Prayer and worship services	1490	Religion and Spirituality	Prayer and Worship Services		453	Religion & Spirituality
Religious causes	1491	Religion and Spirituality	Religious Causes		453	Religion & Spirituality
Religious charities	1492	Religion and Spirituality	Religious Charities		453	Religion & Spirituality
Religious organizaitions	1493	Religion and Spirituality	Religious Organizaitions		453	Religion & Spirituality
Retail	1494	Retail			114	Retail Insustry
Arts and Crafts Supplies	1495	Retail	Arts and Crafts Supplies		248	Arts and Crafts
Cell Phone Stores	1496	Retail	Cell Phone Stores		635	Smartphones
Clothing Stores	1497	Retail	Clothing Stores		552	Style & Fashion
Department Stores	1498	Retail	Department Stores		552	Style & Fashion
eCommerce	1499	Retail	eCommerce		473	Shopping
Factory Outlet Stores	1500	Retail	Factory Outlet Stores		473	Shopping
Grocery Stores and Supermarkets	1501	Retail	Grocery Stores and Supermarkets		210	Food & Drink
Hardware Stores	1502	Retail	Hardware Stores		274	Home & Garden
Musical Instruments and Record Stores	1503	Retail	Musical Instruments and Record Stores		338	Music and Audio
Pawn Shops	1504	Retail	Pawn Shops		239	Hobbies & Interests
Pet and Pet Supply Stores	1505	Retail	Pet and Pet Supply Stores		422	Pets
Shopping Malls	1506	Retail	Shopping Malls		473	Shopping
Specialty Stores	1507	Retail	Specialty Stores		473	Shopping
Sporting Goods Stores	1508	Retail	Sporting Goods Stores		483	Sports
Ticket Services	1509	Retail	Ticket Services		150	Events and Attractions
Fitness Activities	1510	Fitness Activities			225	Fitness and Exercise
Dance Studios	1511	Fitness Activities	Dance Studios		225	Fitness and Exercise
Gyms and Health Clubs	1512	Fitness Activities	Gyms and Health Clubs		225	Fitness and Exercise
Participant Sports Leagues	1513	Fitness Activities	Participant Sports Leagues		225	Fitness and Exercise
Personal Trainers	1514	Fitness Activities	Personal Trainers		225	Fitness and Exercise
Self Defense and Martial Arts Classes	1515	Fitness Activities	Self Defense and Martial Arts Classes		225	Fitness and Exercise
Swimming Facilities	1516	Fitness Activities	Swimming Facilities		225	Fitness and Exercise
Workout and Step Tracking Applications	1517	Fitness Activities	Workout and Step Tracking Applications		225	Fitness and Exercise
Yoga Studios	1518	Fitness Activities	Yoga Studios		225	Fitness and Exercise
Sexual Health	1519	Sexual Health			307	Sexual Health
Contraceptives	1520	Sexual Health	Contraceptives		307	Sexual Health
Doctor Perscribed Medicines	1521	Sexual Health	Doctor Perscribed Medicines		307	Sexual Health
Fertility Tracking Applications	1522	Sexual Health	Fertility Tracking Applications		307	Sexual Health
Non-perscribed Performance Enhancers	1523	Sexual Health	Non-Perscribed Performance Enhancers		307	Sexual Health
Sporting Goods	1524	Sporting Goods			483	Sports
Athletics Equipment	1525	Sporting Goods	Athletics Equipment		483	Sports
Exercise and Fitness Equipment	1526	Sporting Goods	Exercise and Fitness Equipment		483	Sports
Indoor Games Equipment	1527	Sporting Goods	Indoor Games Equipment		483	Sports
Outdoor Recreation Equipment	1528	Sporting Goods	Outdoor Recreation Equipment		483	Sports
Travel and Tourism	1529	Travel and Tourism			653	Travel
Accomodations	1530	Travel and Tourism	Accomodations		653	Travel
Bed and Breakfasts	1531	Travel and Tourism	Accomodations	Bed and Breakfasts	674	Bed & Breakfast
Camping and Camp Grounds	1532	Travel and Tourism	Accomodations	Camping and Camp Grounds	677	Camping
Hotels and Resorts	1533	Travel and Tourism	Accomodations	Hotels and Resorts	668	Hotels and Motels
Motels	1534	Travel and Tourism	Accomodations	Motels	668	Hotels and Motels
Timeshares	1535	Travel and Tourism	Accomodations	Timeshares	653	Travel
Vacation Rentals	1536	Travel and Tourism	Accomodations	Vacation Rentals	653	Travel
Air Travel	1537	Travel and Tourism	Air Travel		672	Air Travel
Cruises	1538	Travel and Tourism	Cruises		678	Cruises
Rail Travel	1539	Travel and Tourism	Rail Travel		669	Rail Travel
Sightseeing Tours and Activities	1540	Travel and Tourism	Sightseeing Tours and Activities		653	TRavel
Travel Agents and Online Travel Services	1541	Travel and Tourism	Travel Agents and Online Travel Services		653	TRavel
Travel Packages	1542	Travel and Tourism	Travel Packages		653	TRavel
Travel Planning and Itinerary Management Applications	1543	Travel and Tourism	Travel Planning and Itinerary Management Applications		653	TRavel
Tobacco	1544	Tobacco			v9i3On	Sensitive Topics
Cigars	1545	Tobacco	Cigars		260	Cigars
Cigarettes	1546	Tobacco	Cigarettes		v9i3On	Sensitive Topics
Smokeless Tobacco	1547	Tobacco	Smokeless Tobacco		v9i3On	Sensitive Topics
Vaping	1548	Tobacco	Vaping		v9i3On	Sensitive Topics
Vaping Cartridges	1549	Tobacco	Vaping Cartridges		v9i3On	Sensitive Topics
Vaporizors	1550	Tobacco	Vaporizors		v9i3On	Sensitive Topics
Vehicles	1551	Vehicles			1	Automotive
Automotive Leasing	1552	Vehicles	Automotive Leasing		1	Automotive
Automotive Ownership	1553	Vehicles	Automotive Ownership		1	Automotive
New vehicle Ownership	1554	Vehicles	Automotive Ownership	New Vehicle Ownership	1	Automotive
Pre-owned Automotive Ownership	1555	Vehicles	Automotive Ownership	Pre-owned Automotive Ownership	1	Automotive
Automotive Products	1556	Vehicles	Automotive Products		32	Auto Parts
Automotive Care Products	1557	Vehicles	Automotive Products	Automotive Care Products	32	Auto Parts
Automotive Parts and Accessories	1558	Vehicles	Automotive Products	Automotive Parts and Accessories	32	Auto Parts
Aftermarket Parts and Accessories	1559	Vehicles	Automotive Products	Aftermarket Parts and Accessories	32	Auto Parts
Automotive Services	1560	Vehicles	Automotive Services		1	Automotive
Auto Towing	1561	Vehicles	Automotive Services	Auto Towing	1	Automotive
Auto Repair	1562	Vehicles	Automotive Services	Auto Repair	1	Automotive
Car Wash	1563	Vehicles	Automotive Services	Car Wash	1	Automotive
Automotive Sales Applications	1564	Vehicles	Automotive Sales Applications		1	Automotive
Ride-sharing Services	1565	Vehicles	Ride-sharing Services		1	Automotive
Taxi Services	1566	Vehicles	Taxi Services		1	Automotive
Vehicle Rental	1567	Vehicles	Vehicle Rental		1	Automotive
Vehicle Type	1568	Vehicles	Vehicle Type		1	Automotive
Boats	1569	Vehicles	Vehicle Type	Boats	1	Automotive
Diesel Vehicles	1570	Vehicles	Vehicle Type	Diesel Vehicles	1	Automotive
Electric Vehicles	1571	Vehicles	Vehicle Type	Electric Vehicles	1	Automotive
Gas Vehicles	1572	Vehicles	Vehicle Type	Gas Vehicles	1	Automotive
Hybrid Vehicles	1573	Vehicles	Vehicle Type	Hybrid Vehicles	1	Automotive
Recreational Vehicles	1574	Vehicles	Vehicle Type	Recreational Vehicles	1	Automotive
Scooters, Motorbikes, and E-bikes	1575	Vehicles	Vehicle Type	Scooters, Motorbikes, and E-bikes	29	Scooters
Weapons and Ammunition	1576	Weapons and Ammunition			v9i3On	Sensitive Topics
Ammunition	1577	Weapons and Ammunition	Ammunition		v9i3On	Sensitive Topics
Guns	1578	Weapons and Ammunition	Guns		v9i3On	Sensitive Topics
Gun Accessories	1579	Weapons and Ammunition	Gun Accessories		v9i3On	Sensitive Topics
Gun Shows and Auctions	1580	Weapons and Ammunition	Gun Shows and Auctions		v9i3On	Sensitive Topics
Non-Projectile Weapons	1581	Weapons and Ammunition	Non-Projectile Weapons		v9i3On	Sensitive Topics

Taster and Stun Guns	1582	Weapons and Ammunition	Taster and Stun Guns		v9i3On	Sensitive Topics
